0x0610418E "b"
0x97F11BBE "set_tod_newrain"
0x98E1FEA3 "splash_blend"
0xBEB1935F "FakeLights_Night"
0xBEB17E5A "tod_skaterlights_morning"
0xC1E1ABE8 "tod_night"
0xC9C11546 "morning"
0xDE011D0B "rain_red2"
0x02B282C6 "get_rain_mode_string"
0x1392457F "timeofday_menu"
0x1342C45E "blue_0"
0x181240F0 "tod_rainon2"
0x2222AB0E "TRG_Evening_levellight"
0x2A32C6B7 "SetFogColor"
0x4E62DBDB "tod_morn"
0x52D22BDE "splash_rate"
0xDE73706C "ash_rate"
0x73D24853 "DisableFog"
0x8572C329 "blue_1"
0xD34265EC "indoor"
0xE84297E9 "splash_red"
0xEB92A0A8 "rain_height"
0x01F32330 "tod_njfog"
0x0EE30A28 "WeatherSetsnowSize"
0x1583B573 "set_level_lights"
0x1AB39199 "set_tod_ru_day_snow"
0x1CC35A5A "nj_night"
0x22B3FC0C "tod_dynamic_skaterlights_start"
0x52936665 "Get_Skaterlight_direction_levelsq"
0x5943810B "rain_green2"
0x64B3A016 "level_structure"
0x79D3A665 "mod_factor_1"
0x8193C925 "snow_blend"
0x95D30A18 "splash_life"
0xA713487E "lightgroup"
0xEFE3A112 "mod_factor_0"
0x0B44FDB0 "set_tod_night"
0x1114C6CA "WeatherSetSplashBlendMode"
0x3E94545A "setcolorz"
0x65C468B3 "set_tod_SCJ_Cutscene"
0xCAA41256 "skaterlights_target"
0xD104A712 "snow_size"
0xFF146096 "lev_red"
0x27655CB6 "heading_1"
0x2C45CB88 "snow_height"
0x4A851BD7 "Heavy_Rain_SFX_Off"
0x4E555D1C "lev_blue"
0x7E656DE3 "distance"
0x99D5B43A "splashcolor"
0xA2D5D9C7 "tod_vc_evening"
0xA76573BA "TOD_ENABLED"
0xB1555BC1 "heading_0"
0xE745E15C "Set_fog_from_levelsq"
0xFFA557B4 "WeatherSetRainHeight"
0x3196F16E "green_0"
0x437606F9 "WeatherSetSnowBlendMode"
0x46863F01 "set_tod_evening"
0x47F68B90 "ambient_green"
0x5C365B4B "tod_skaterlights_vc_evening"
0x6FD65F1A "day"
0x7B7682ED "nolevellights"
0xA7A6F619 "green_1"
0xC8561B08 "tod_even"
0xDCF6B5D4 "script_set_level_tod"
0xE5D60BCE "fog_red"
0xE52686D0 "tod_skaterlights_day"
0x02E7661F "tod_ru_day"
0x18E7889F "tod_skaterlights_evening"
0x24D74580 "TurnOn_SkaterLevelLights"
0x29C71975 "TOD_TOGGLE"
0x343731CF "set_tod_snow"
0x3B378AEB "tod_dynamic_end"
0x56A74F9A "fog_alpha"
0x61876A18 "set_tod_nj_night"
0x6F97E383 "evening"
0x8327664E "set_tod_scj"
0x85C7C9BE "set_tod_KISS"
0xBD177716 "tod_skaterlights_nj_morning"
0xCD572B66 "tod_day"
0x66746F64 "_day"
0xDF27F19F "splash_blue"
0xF4E79B21 "rain_blend"
0xF6C767E1 "fog_blue"
0x2A18E04E "set_tod_rain"
0x491814DE "snowcolor"
0x5068B659 "set_tod_nj_morning"
0x52A896B2 "nj_morning"
0x54B88FBA "Diff"
0x5DF82600 "WeatherSetsnowRate"
0x64A80677 "WeatherSetRainColor"
0x6CB8F492 "tod_skaterlights_night"
0x72386FFF "interpolated"
0x76F8D2BE "Veh_Generic_TOD"
0x87C8560E "WeatherSetSnowActive"
0x974866ED "ambient_red"
0xCF784657 "raincolor"
0xD9C85BC3 "raincolor2"
0xDE18A118 "tod_dynamic_start"
0xDEA8E0CA "SetSceneColor"
0xE2C854FE "WeatherSetSnowColor"
0xEE58CF14 "rain_fixed"
0xFD789C5A "rain_green"
0x01C907F6 "splash_size"
0x0D694E40 "Proportion"
0x1929E883 "snow_frames"
0x331923B5 "tod_skaterlights_kiss"
0x53F92E02 "show_all_trick_objects"
0x56E9905C "rain_length"
0x6369E555 "SetFogDistance"
0x64999547 "snow_red"
0x7049DB3C "level_struct"
0x8E69415C "rain_blue2"
0xB1499A04 "set_tod_vc_evening"
0xC1D91772 "FakeLights_Evening_on"
0xC94932EE "set_tod_ru_night_snow"
0xCAC974BF "WeatherSetRainFrames"
0xDAA983D8 "splash_alpha"
0x099A8F64 "set_tod_ru_day"
0x0FEA517B "snow_blue"
0x391A0840 "dontchangelights"
0x471A79E8 "WeatherSetSplashSize"
0x4C5A7CC9 "snow"
0x78BA4F5F "ambient_blue"
0x898A03F2 "rain_blue"
0xA86A0298 "tod_skaterlights_SCJ_Cutscene"
0xBDBAE556 "FakeLights"
0xCAFA98BA "Rain_on"
0xFDAA84B8 "KISS"
0x0FEBC745 "splash"
0x108BD9F9 "sky"
0x1F6BCED8 "Headlights_on"
0x2A9BCC5D "Get_fog_values_levelsq"
0x30CBE513 "set_tod_from_params"
0x755BFFD9 "pitch_0"
0x7ECB00F2 "current_tod"
0xC3DBB45E "snow_alpha"
0xD9BB0866 "tod_start"
0xE36BF8AE "pitch_1"
0xF82B49D3 "timeofday_vmenu"
0x49D37469 "meofday_vmenu"
0x279C9ADF "start_dynamic_tod"
0x399C2395 "set_tod_nj_fog"
0x45ECE76C "tod_skaterlights"
0x481CF9B1 "script_reset_tod"
0x880CCE5E "snow_green"
0x938CED85 "dynamic_tod"
0x9B2C9D10 "snow_fixed"
0xA25C814F "tod_rainon"
0xB52C8C18 "Heavy_Rain_SFX_On"
0xF2BC040A "WeatherSetRainActive"
0xF34C2794 "tod_skaterlights_nj_night"
0xF8DC9774 "FakeLights_Night_on"
0x074DEABD "skycolor"
0x083D36C3 "set_tod_rainoff"
0x4FDD4D8F "EnableFog"
0xB5DD2DFE "fog_dist"
0xBFBD26BB "WeatherSetsnowFrames"
0xC14D71E3 "outdoor"
0xEC4D7783 "tod_end"
0xFD0D9F54 "tod_rainoff"
0x1EAEE84F "Snow_on"
0x20BEAD99 "set_tod_startup"
0x219E1495 "red_1"
0x42DE6740 "WeatherSetRainLength"
0x4A9EC9CF "sky_green"
0x790EACBF "sky_red"
0x825EAA96 "splash_fixed"
0x905EA897 "tod_skaterlights_nightvision"
0x917EF9D8 "splash_green"
0xB7AE13E2 "red_0"
0xC49E6D81 "WeatherSetRainRate"
0xDEFE83A3 "rain_frames"
0xF4FE6077 "nj_evening"
0xF63E409C "set_tod_nj_evening"
0x047FD9B3 "rain_rate"
0x224FE8A2 "set_tod_ru_night"
0x41BFAF18 "sky_blue"
0x60DF7FEA "instant_tod_change"
0x778F3A1A "SCJ_Cutscene"
0x802F53AF "tod_dynamic_skaterlights_end"
0x821F8B3A "snow_rate"
0x87CF8C02 "Fog_on"
0x8E2FEB1B "tod_skaterlights_fog_nj"
0x980FB708 "level_nj"
0xB6AFE65A "rain_alpha"
0xBD5FEF31 "ambient_mod_factor"
0xF5DF1130 "tod_snowon"
0xFDFFDEC6 "rain_red"
0x2910A12F "vert_air_slerp"
0x32600D63 "STATS_FLIPSPEED"
0x42607105 "mechbull_physics"
0x48E07871 "flush_slerp_factor"
0x4B8057B5 "rotate_in_place_rate"
0x5350F30B "Rail_jump_rerail_time"
0x5DA0D60B "min_anim_run_speed"
0x5D4078B2 "best_turn_factor"
0x5D70A281 "standard_switch"
0x70C05EA8 "hop_obstruction_feeler_up"
0x80F02829 "Skitch_Max_Distance"
0x95702A8F "no_switch"
0x97C033F7 "Skater_max_tense_time"
0x97C09CB6 "Skater_Drift_Upright_Speed"
0x9F80B31A "Lip_along_jump_speed"
0xA4C0E0E6 "rehang_delay"
0xAFD0BBBF "Skate_wall_lean_push_height"
0xC4405854 "Physics_Wallplant_Delay"
0xC7F02C54 "Skater_default_head_height"
0xD3806A85 "curb_float_lerp_up_rate"
0xE9B01AF8 "Lean_Bail_Angle"
0xF56067A2 "worse_worse_turn_factor"
0x04E1E4E1 "lerp_y"
0x0C2135C1 "hang_anim_wait_speed"
0x28C11A6B "ServerCollRadius"
0x2FA14CF5 "robot_rail_add_time"
0x35C1220F "lerp_upright_rate"
0x3D31C1C1 "Sim_speed"
0x51418322 "cess_turn_multiplier"
0x5461C913 "Skater_Camera_2P_Horiz_Near"
0x5831DD75 "Skater_Camera_2P_Horiz_Array"
0x68A18B43 "Wall_Ride_Down_Collision_Check_Length"
0x6D216F45 "max_onto_ladder_angle"
0x732142B7 "CarPlant_Forward_boost"
0x76F1C88C "BalanceSafeButtonPeriod"
0x820112D8 "Normal_Lerp_Speed"
0x8791383B "Physics_late_wallplant_frames"
0x9201B22B "Skater_Camera_Standard_Near"
0x536B6174 "er_Camera_Standard_Near"
0x95F1064B "rubber_friction"
0xA7B18D64 "Skater_Camera_2P_Vert_Array"
0xA9E17EE0 "Wall_Bounce_Angle_Multiplier"
0xAB01C51B "ledge_top_feeler_up"
0xBEA198DC "graffiti_feeler_length"
0xC0713DB3 "focus_max_times_in_combo"
0xE4713330 "InternetClientCollCoefficient"
0xFEA18248 "vert_air_lerp_y"
0x1332B39D "skater_autoturn_speed"
0x1C529DCE "ladder_anim_wait_speed"
0x24C2961F "Lip_side_hop_speed"
0x2EC214D4 "lip_trick_zoom"
0x3592D7E4 "Physics_Ground_Snap_Up"
0x47621839 "Physics_Projectile_Targeting_Dist"
0x499281C5 "LanClientCollRadius"
0x4BD296AC "hang_control_debounce_time"
0x51423EAF "snap_down_height"
0x55D2EC0E "button_horiz_snap_distance"
0x56624997 "skitch_suck_speed"
0x5C52E236 "Skater_Cam_Tilt"
0x5ED2E018 "InternetServerCollCoefficient"
0x5F426B40 "Skater_side_collide_length"
0x68A27646 "forward_tolerance"
0x68D233BC "Skate_min_wall_lean_push_speed"
0x72326B78 "Physics_Air_Snap_Up"
0x7342D1CE "BashSpeedupFactor"
0x7AF21C8E "pegged_duration_for_skid"
0x8E12243D "Physics_Crouching_Acceleration_stat"
0x8FC24242 "Skater_Camera_2P_Vert_Near"
0x9FF2358F "hang_obstruction_feeler_up"
0xAC32007F "lip_trick_tilt"
0xAD82D179 "walk_speed"
0xAE02DA1C "walk_camera_parameters"
0xB2021D31 "stop_skidding_speed"
0xBEB292A0 "Physics_Air_No_Rotate_Time"
0xC24285B7 "Physics_Wallpush_Min_Exit_Speed"
0xD4029D34 "Wall_Ride_Jump_Out_Speed"
0xD63244ED "Physics_flip_bail_angle"
0xE3C21046 "Skater_Max_Standing_Kick_Speed_Stat"
0xEE727D22 "min_curb_height_adjust_vel"
0x036327A8 "Drop_To_Climb_Max_Snap"
0x0833EB32 "Lean_Rnd_Speed"
0x1B83F2CA "ladder_bottom_offset_forward"
0x1C93FF84 "hang_move_collision_up"
0x2E1386DE "hang_critical_point_vert_offset"
0x30B399AC "STATS_SPIN"
0x4963755D "Physics_Air_Ramp_Rotate_Time"
0x4AE384AE "cess_turn_min_speed"
0x5AE39D5A "Wall_Ride_Jump_Up_Speed"
0x6553ABE7 "sticker_feeler_length"
0x76538B22 "hang_move_cutoff"
0x7DF3164D "push_strength"
0x826345E0 "wall_rotate_factor"
0x95B37B45 "Rail_Speed_Boost"
0x9533DDAB "skater_autoturn_cancel_time"
0xA7438774 "zoom_lerp"
0xADE3AD02 "Physics_Jump_Speed_Stat"
0xB7430CA2 "push_feeler_length"
0xCAE35588 "Skater_Camera_2P_Vert_Medium_LTG"
0xCB138610 "SkateInAble_LipExtraCheckHorizOffset"
0xD0A39B89 "Physics_Ground_Snap_Down"
0xD7E39DD2 "Physics_Graffiti_Wait_Frames"
0xE1A3E3CE "snap_up_height"
0xE4530623 "STATS_SWITCH"
0xF2B349CB "CarPlant_Upward_boost"
0xFDE39652 "ladder_bottom_offset_up"
0x0C841024 "Skater_Camera_2P_Horiz_Medium"
0x1BC4E652 "behind"
0x2A14259B "Lip_held_jump_along_time"
0x2DB4574F "Physics_Acid_Drop_Speed_Limit_Override_Duratio"
0x3B4485F0 "jump_accel_factor"
0x4924A0A5 "skater_xbox_shoulder_turn_no_rotate_time"
0x4E54DA43 "tricycle_physics"
0x62940761 "LipRampVertAngle"
0x67942A26 "hang_horiz_origin_offset"
0x6B446EA0 "Physics_Wallplant_Duration"
0x6D44DCF9 "SkateInAble_LipExtraCheckDownOffset"
0x7C24E092 "Skater_Max_Crouched_Kick_Speed_Stat"
0x8184F725 "LanClientCollCoefficient"
0x9BA49065 "walk_accel_rate"
0xA0D42F04 "vert_air_landed_slerp"
0xA3D4B209 "Physics_Wallplant_Speed_Loss"
0xBBF457D7 "Skater_Break_Vert_forward_tilt"
0xD3E4ED3E "Wall_Non_Skatable_Angle"
0xD9F486F3 "vert_air_lerp_xz"
0xE864C1C4 "max_vert_snap_distance"
0xF334A6B6 "Instable_Base"
0xFEC44282 "cess_turn_cap_speed"
0x2A4585A6 "Matrix_speed"
0x32F5840B "Physics_RunTimer_Duration"
0x38E57567 "walk_parameters"
0x3ED5B3DB "hang_init_anim_feeler_height"
0x3E7540F8 "Rail_Max_Snap"
0x42E59F83 "jump_horiz_speed"
0x43D51700 "Physics_Disallow_Rewallpush_Duration"
0x6B054E37 "Physics_Ground_Rotation"
0x7CD55763 "Skater_Default_Stats"
0x80B520B6 "ladder_top_offset_forward"
0x8AD5D6DB "InternetClientCollRadius"
0x9655AD61 "Lean_Acc"
0x9F252141 "rubber_acc"
0xAAD59AE8 "Skater_Camera_Standard_Far"
0xABF5FEA9 "Instable_Rate"
0xAD45462B "Rail_minimum_rerail_time"
0x5261696C "_minimum_rerail_time"
0xAD152CDC "Physics_vert_wallplant_distance"
0xAEF585DA "barrier_jump_highest_barrier"
0xBC1590AB "dpad_worse_worse_turn_factor"
0xBED5C995 "STATS_RAILBALANCE"
0xCD2546FD "trick_mult_degrade_start"
0xD2F5B4CC "ledge_front_feeler_forward"
0xD3B54D8F "Repeat_Min"
0xD805586A "max_fast_walk_speed"
0xD9C55781 "LipAllowAngle"
0xDEE5B26C "worse_turn_factor"
0xECA5E678 "barrier_jump_max_angle"
0x0316DF94 "horiz_fov"
0x10960D5C "Physics_Ground_Snap_up_Skitching"
0x2116583C "dpad_control_damping_factor"
0x2116DA07 "BalanceIgnoreButtonPeriod"
0x3386CCB8 "ManualParams"
0x39B6390C "matrix_slerp_rate"
0x39369B1E "Skater_Camera_2P_Vert_Far"
0x4DF6C96A "Wall_Ride_Max_Incident_Angle"
0x4D869B5F "Physics_Standing_Acceleration_Stat"
0x53065F43 "Skate_wall_lean_push_time"
0x622636A4 "CheeseFrames"
0x6876470A "Physics_Natas_Delay"
0x79368692 "Skater_Flip_Speed_Stat"
0x80069930 "robot_rail_nudge"
0x8776BFAF "hang_obstruction_feeler_side"
0x8C86C858 "Skater_Camera_Standard_Medium_LTG"
0x95065199 "horiz_wall_jump_speed"
0x96F6A76D "feeler_height"
0x96A61CC3 "Physics_Air_hang_Stat"
0xA496FF5D "max_rotate_in_place_angle"
0xAA06B0F9 "Physics_Transfer_Speed_Limit_Override_Drop_Rat"
0xAFE6D101 "drop_to_hang_speed_factor"
0xC4765E7B "vert_plant_feeler_length"
0xD0A64433 "hang_move_collision_side_length"
0xD496DB5A "DefaultWobbleParams"
0xFCB6781A "Physics_Standing_Air_Friction"
0x0067D338 "barrier_jump_delay"
0x08D7384B "Skater_Camera_2P_Horiz_Far"
0x13A71866 "Physics_Ground_Gravity"
0x1D27F12D "Spine_Max_Width"
0x26271020 "Skater_First_Forward_Collision_Length"
0x2B972CB3 "display_offset_restore_rate"
0x972CB364 "isplay_offset_restore_rate"
0x3B27240D "LanServerCollCoefficient"
0x43C729ED "Skater_Cam_Vert_Air_Slerp"
0x4877B317 "initial_vert_vel_boost"
0x48178506 "Lean_Gravity_Stat"
0x4A97A19E "walker_height"
0x51B7B56B "Skater_vert_active_up_time"
0x52C7B219 "skitch_hold_time"
0x52976631 "Rail_Bad_Ledge_Side_Dist"
0x5407A4FA "Physics_Air_Gravity"
0x59573853 "cess_Friction"
0x6EA75188 "Physics_Boneless_Jump_Speed_Stat"
0x7207A960 "lookaround_slerp_rate"
0x81E7DFEF "SkateInAble_LipDownOffset"
0x8887FB8A "ignore_velocity_threshold"
0x8B67D57D "Skater_Slow_Turn_on_slopes"
0x8C37A3FC "SkateInAble_DownOffset"
0x9F176980 "limit"
0xAA875FCC "Skater_Max_Max_Speed_Stat"
0xAF678D2B "STATS_AIR"
0x53544154 "S_AIR"
0xB727E16E "robot_kick_in_count"
0xDCA7DC96 "Physics_Wallplant_Disallow_Grind_Duration"
0xE8B7CBBF "Wall_Ride_Max_Tilt"
0xFA574907 "Physics_Wallplant_Vertical_Exit_Speed"
0x035867B0 "rotate_upright_duration"
0x11A82A0A "low_speed_decel_factor"
0x2478B091 "Physics_Air_Jump_Speed_min_Stat"
0x2B783B8B "segway_physics"
0x783B8B73 "egway_physics"
0x2C18FB21 "Skitch_Offset"
0x3348EFA3 "Point_Rail_Speed_Boost"
0x3DB890D7 "big_air_trick_zoom"
0x3E283841 "Ground_stick_angle_forward"
0x41D8FDCB "Physics_Air_Lean_stat"
0x4558FAF2 "hang_jump_factor"
0x4EE805DB "slop_lock_angle"
0x50E823AE "Wall_Ride_Upside_Down_Angle"
0x5EA8B959 "focus_time_limit"
0x6018B4EC "LanServerCollRadius"
0x71483878 "Physics_Vert_Push_Out"
0x7778D5AB "skater_upright_sideways_speed"
0x78484859 "Physics_Acid_Drop_Min_Land_Speed"
0x7AB80E85 "Physics_Heavy_Air_Friction"
0x81E87ED7 "hang_move_speed"
0x88886C89 "jump_adjust_speed"
0x91687639 "Physics_Boneless_Air_Jump_Speed_Stat"
0xA0580ABE "Wall_Bounce_Dont_Flail_Speed"
0xA0381C44 "Physics_Vert_hang_Stat"
0xB4C8581C "Skater_air_extra_side_col"
0xBC180D42 "vert_wall_jump_speed"
0xCB18DB4C "Physics_Boneless_Air_Jump_Speed_min_Stat"
0xCF18289B "pull_up_obstruction_height"
0xDED8E8D7 "focus_button_pressed_time"
0xEAC8799F "Physics_Air_Jump_Speed_Stat"
0xEB4853D2 "run_slerp_factor"
0xEBC8E1C5 "New_Grind_Sub_Time"
0xEFA83379 "Physics_Ground_Sharp_Rotation"
0xF028C10E "Moon_gravity"
0xF0E84B02 "Physics_Wallplant_Distance_From_Wall"
0xFA88339B "curb_float_lerp_down_rate"
0xFFE827EF "Lean_Min_Speed"
0x0E39B6AD "lip_trick_above"
0x1329D1D3 "chainsaw_physics"
0x17A9A89D "Skater_Camera_Undefined"
0x20993C27 "Physics_vert_wallplant_vertical_velocity_limit"
0x2879871B "hang_vert_control_tolerance"
0x33A91505 "wall_turn_speed_threshold"
0x39691CEA "Skater_Camera_Array"
0x47594926 "Skater_Vert_Allow_break_Time"
0x5879A4D1 "LEAN_ACC_DIFF"
0x5BB9E17E "ladder_control_tolerance"
0x5EF9B6F3 "LipAllowAngle_Override"
0x6C39EE7C "Physics_Wallplant_Min_Exit_Speed"
0x72294210 "Skater_Cam_Above"
0x78096672 "barrier_jump_min_clearance"
0x7CA906C5 "hang_move_lerp_rate"
0x8A59946A "natas_spin_factor"
0x92692F01 "origin_offset"
0x9269F4D1 "Physics_Rail_Gravity"
0x969964F3 "max_slow_walk_speed"
0x98C9474F "run_accel_rate"
0x9B8947AE "lerp_xz"
0xA8395F0F "ledge_top_feeler_down"
0xC5B94FF5 "slerp"
0xCDA9BFAE "stand_pos_search_depth"
0xD7291F91 "dpad_worse_turn_factor"
0xDD89BC8C "skater_physics"
0xE049BF76 "ladder_top_offset_up"
0xE2395BB4 "Skater_side_collide_height"
0xE5494382 "min_slerp_speed"
0xE7E98030 "Lip_held_jump_out_time"
0x03FAA162 "Skater_max_sloped_turn_speed"
0x0FCAE6DC "hang_hop_max_rail_angle"
0x106ADD93 "Repeat_Multiplier"
0x15DAC176 "Rail_Corner_Leave_Angle"
0x212AD663 "jump_velocity"
0x40FAF8ED "STATS_OLLIE"
0x648AA464 "Wall_Ride_Turn_Speed"
0x676A63F0 "Wall_Ride_Min_Speed"
0x738ADAB8 "lock_angle"
0x730A96C5 "min_car_height_diff"
0x966A11E7 "Physics_recover_rate_stat"
0xB7BAEB06 "jump_obstruction_check_back"
0xC5EA75B9 "slomo_speed"
0xCFAAD365 "ped_push_dist"
0xD3CAA50D "dpad_min_slerp_speed"
0xD53A81F4 "Physics_Time_Before_Free_Revert"
0xDDDA7F6B "GrindParams"
0x001B245D "Wall_Ride_Triangle_Window"
0x014B2F42 "ClientCollRadius"
0x013B0309 "Skater_Camera_2P_Vert_Medium"
0x12AB8B4B "Skate_wall_lean_push_length"
0x1CFB1211 "Physics_Wallpush_Speed_Loss"
0x345BF2DE "skitch_speed_match"
0x413BF313 "physics_break_air_speed_scale"
0x43DB5749 "Physics_Air_Rotation_stat"
0x54DBB20A "ladder_move_speed"
0x6C5BECFB "Same_Grind_Add_Time"
0x73FB1F87 "wheelchair_physics"
0x7E8B7DF0 "SnowBoard_Friction"
0x7E8B81DC "Lip_side_jump_speed"
0x871B46CC "run_speed"
0x947B9BC7 "STATS_RUN"
0x9B3B587A "wall_turn_factor"
0xC5FBA882 "Snowboard_turn_multiplier"
0xD47BEC18 "Physics_Wallpush_Vertical_Exit_Speed"
0xDABBB335 "ladder_climb_offset"
0xE08BB3C6 "Physics_Transfer_Speed_Limit_Override_Max"
0xF30B6D24 "min_jump_factor"
0x01CC87FC "SkitchParams"
0x0F1C572D "max_reverse_angle"
0x140C4123 "Skater_Min_Distance_To_Wall"
0x1CCC798F "Physics_Wallplant_Min_Approach_Angle"
0x22EC5238 "jump_obstruction_extra_control_suppression_del"
0x2AACC048 "jump_obstruction_check_height"
0x2A1C16EF "Ground_stick_angle"
0x2FCCC550 "spin_count_slop"
0x329CA795 "Physics_Acid_Drop_Pop_Speed"
0x348C141C "STATS_LIPBALANCE"
0x46BCDF99 "ServerCollCoefficient"
0x52CCED11 "curb_float_feeler_length"
0x873CDAB2 "control_slerp_factor"
0x92BC1187 "minikart_physics"
0x986C447B "walk_rotate_factor"
0x9B5C20D4 "Skater_First_Forward_Collision_Height"
0x9CCC941C "max_slow_run_speed"
0xA67CFA52 "pull_up_offset_up"
0xAF7C610C "Wall_Ride_Gravity"
0xB4BC1D75 "Physics_vert_wallplant_boost"
0xB69C1C80 "uber_frig_current_height"
0xC1ACA2F7 "Physics_air_tap_turn_speed_stat"
0xC55C7F5A "grind_zoom"
0xC69C34D5 "Physics_Min_Wallplant_Height"
0xC88C2F9D "Skater_vert_push_time"
0xD65C8C84 "physics_break_air_up_scale"
0xEC6CE24C "Normal_Lerp_Velocity_Scale"
0xF12C4486 "STATS_SPEED"
0xF95C29A9 "Skater_Cam_Behind"
0x01FD8314 "Wall_Bounce_Dont_Slow_Angle"
0x05CDFA8C "Skater_Cam_Horiz_FOV"
0x094DFB92 "Hang_Run_Timer_Speed_Adjustment"
0x0A5D61BE "LipParams"
0x0DCDC1E6 "max_wall_turn_speed_threshold"
0x142DCD12 "Physics_Air_Ramp_Lean_Time"
0x2B8D9799 "feeler_length"
0x8D979966 "eeler_length"
0x2CED5727 "Physics_Ignore_Ceilings_After_Wallplant_Durati"
0x2E1D49C0 "acid_drop_jump_velocity"
0x48AD0172 "max_cas_scaling"
0x4E8D68D0 "Rail_Tolerance"
0x569D0AE5 "Physics_Acid_Drop_Walking_On_Ground_Search_Dis"
0x5B2D5852 "max_rotate_in_place_speed"
0x5CEDD79C "Rail_Bad_Ledge_Drop_Down_Dist"
0x5EADC908 "gurney_physics"
0x6DDD74C7 "hang_move_collision_side_height"
0x848D765F "Physics_Walking_Wallplant_Speed"
0x893DEBCB "hang_move_collision_back"
0x8B4D8460 "uber_frig_default_height"
0x8E3D19D3 "max_unnoticed_ground_snap"
0xB3DDAC2E "Skater_Max_Speed_Stat"
0xBA7D5A19 "Physics_Projectile_Targeting_Angle"
0xBFFD836C "BashPeriod"
0xC55DFD95 "ledge_front_feeler_back"
0xC89DF6F6 "facing_control"
0xD75D1382 "Physics_Disallow_Rewallplant_Duration"
0xD95D73A2 "max_horiz_snap_distance"
0xDA6DEFBC "full_slerp_speed"
0xE7AD02F4 "Skater_Camera_Standard_Medium"
0xF36D2B4C "Skater_Late_Jump_Slop"
0x4C536B61 "ter_Late_Jump_Slop"
0xFC1DB33F "run_adjust_rate"
0x0C4EFAAC "decel_factor"
0x2ABE9633 "wallride_offset_angle"
0x2DAE960B "above"
0x337EDF20 "Physics_Ground_Snap_Down_Skitching"
0x38FE8E6E "Physics_Boneless_Jump_Speed_min_Stat"
0x3BBE2CB9 "SkateInAble_LipHorizOffset"
0x3CAE3112 "Cheese"
0x435E81C8 "Physics_Jump_Speed_min_Stat"
0x457EE9F1 "min_skid_speed"
0x56BE8EC7 "SkateInAble_HorizOffset"
0x6E3E26C3 "hang_critical_point_horiz_offset"
0x743EC1A8 "hang_vert_origin_offset"
0x77BEDF21 "pull_up_offset_forward"
0x83AE832F "hang_init_anim_feeler_length"
0x9A3E9BEE "Skater_Cam_Slerp"
0xA40EE16C "Lean_Repeat_Multiplier"
0xB72E41E4 "Rail_walk_rerail_time"
0xBC4E7298 "hang_max_rail_ascent"
0xBD3E3312 "hold_time_for_max_jump"
0xC0AEC8FD "drop_to_hang_rotate_factor"
0xC01EDA73 "dpad_full_slerp_speed"
0xC24EC7F0 "Wall_Ride_Delay"
0xC40EF878 "Physics_Rolling_Friction"
0xCB7E35BB "Physics_Point_Rail_Kick_Upward_Angle"
0xD71E6609 "skid_accel"
0xDA6ED9BE "Physics_Crouched_Air_Friction"
0xEB1EF72B "Skater_Flip_Speed"
0xF27E52C3 "Skater_max_sloped_turn_cosine"
0xF3BEAD03 "Skater_cess_Flip_Speed"
0xF35E5038 "Rail_Jump_Angle"
0x001FC922 "min_car_height_downwards"
0x07EF1372 "combo_run_speed"
0x23FF490A "DrivingCoefficientBoostFactor"
0x2C7FCE30 "Climb_Max_Snap"
0x2E4F2261 "skater_autoturn_vert_angle"
0x34CF0D53 "sticky_land_threshold_speed"
0x46EF705F "Physics_Air_No_Lean_Time"
0x695F8127 "max_pop_speed"
0x6F3FD7E5 "Physics_Brake_Acceleration"
0x747FB251 "ped_push_skater_speed"
0x7E0FC232 "Physics_Acid_Drop_Min_Air_Time"
0x7F8F52C1 "walk_point"
0xA35FE3F2 "InternetServerCollRadius"
0xA3BF4AD2 "BashMaxPercentSpeedup"
0xA76F39C3 "rubber_limit"
0xABFF471A "hang_move_animation_speed"
0xB3AFF4EE "DrivingRadiusBoostFactor"
0xB51F3DB2 "NewSpecial"
0xBB5FA8E2 "LipPlayerHorizontalAngle"
0xC2AF4D63 "LEAN_GRAVITY_DIFF"
0xDD9F0D90 "Skater_Camera_2P_Horiz_Medium_LTG"
0xFC1F0CB1 "ClientCollCoefficient"
0x52D86E9D "dks_run_speed"
0x5B8484A0 "dks_jump_velocity"
0x8DB02BDF "dks_gravity"
0xDF646B73 "_gravity"
0xC614E8D4 "dks_jump_adjust_speed"
0x4034C033 "dks_hang_move_speed"
0x34E7E76D "dks_Physics_Air_Gravity"
0xE1E0E551 "dks_Wall_Ride_Gravity"
0x02205EBF "StandingLandTurn1"
0x06F01B82 "GetFocusTimesAllowed"
0x0E50E44F "RevertTime"
0x10600F29 "BashOff"
0x1700FAE9 "NollieSkatingTurnRight"
0x1E50AD2A "PlayLandAnim"
0x2060B890 "NoBrake"
0x207090D8 "easy_no_bail"
0x2280A927 "Obj_Flip"
0x2FA0F3B4 "SkaterEnterFocus"
0x3EC04BFD "heading"
0x3EE06EA7 "GrindMetalOn"
0x3F90AD58 "DoingTrick"
0x420020DB "MongoBrakeIdle"
0x526040BE "NoseManualBailFast"
0x5D70618C "RunTimerEvents"
0x5E702A4E "set_skater_particle_handlers"
0x68A0B120 "DumpSkaterEventHandlerTable"
0x6A605B58 "ScriptGetScreenMode"
0x7AB0302C "SetFocusTimesAllowed"
0x81106FF2 "Cloth_Airflow_Partial"
0x84D08FE4 "SwitchOffAtomic"
0x85806760 "bonus"
